station,phase,time
das1100,P,1715112918.2419999
das2700,P,1715113199.691999
das2700,P,1715113590.431999
das2700,P,1715113734.8019998
das2100,P,1715113874.012
das2700,P,1715114161.9219992
das2900,P,1715114401.6820009
das2900,P,1715114520.112001
das2700,P,1715114760.9419992
das2700,P,1715114879.532
das2700,P,1715115155.5619998
das2700,P,1715115238.162001
das1100,P,1715115295.101999
das2900,P,1715115372.442
das2100,P,1715115433.0019999
das2100,P,1715115952.842001
das1500,P,1715116176.8019998
das500,P,1715116270.152
das2300,P,1715116287.952
das2900,P,1715116812.912
das500,P,1715117020.632002
das1300,P,1715117020.351999
das2100,P,1715117118.672
das1700,P,1715117233.272
das1900,P,1715117235.232
das2300,P,1715117401.011999
das1700,P,1715117653.612
das900,P,1715117915.072
das1100,P,1715118075.152
das2300,P,1715118180.6820009
das2700,P,1715118181.4219992
das2900,P,1715118810.492001
das1700,P,1715118898.592001
das1300,P,1715118978.1420002
das1700,P,1715119576.792
das2100,P,1715119574.542
das2100,P,1715120035.151998
das2700,P,1715120093.072
das1900,P,1715120122.532
das900,P,1715120753.752001
das2100,P,1715121157.7619991
das700,P,1715121190.052
das1900,P,1715121340.601999
das2700,P,1715121358.8019998
das2100,P,1715121717.952002
das2100,P,1715121859.822
das2900,P,1715121973.732
das2700,P,1715122198.191999
das2900,P,1715122379.581999
das1500,P,1715122439.9120011
das1700,P,1715122392.592
das2700,P,1715122441.8820019
das2100,P,1715122501.351999
das2300,P,1715122947.4819999
das2300,P,1715123100.592001
das1300,P,1715123174.162
das2900,P,1715123458.991999
das1900,P,1715123677.162001
das700,P,1715123760.1420002
das2300,P,1715123759.632002
das2300,P,1715123893.712
das2100,P,1715123952.982
das2300,P,1715123953.2819998
das1900,P,1715124174.831999
das2700,P,1715124299.5020008
das1900,P,1715124360.732
das2900,P,1715124421.6220002
das2500,P,1715124498.2819998
das1900,P,1715124660.4819999
das2700,P,1715125257.4120011
das2100,P,1715125335.252
das2900,P,1715125497.601999
das2700,P,1715125795.101999
das700,P,1715125876.2819998
das1700,P,1715126394.272001
das2100,P,1715126997.752001
das2700,P,1715127119.311998
das2700,P,1715127240.1820009
das2900,P,1715127252.832
das500,P,1715127310.722
das900,P,1715127420.662001
das2900,P,1715127420.662001
das2300,P,1715127600.532
das2700,P,1715127656.351999
das2100,P,1715127837.162001
das1900,P,1715127893.4120011
das2300,P,1715127922.882
das2500,P,1715128044.332001
das2900,P,1715128033.192
das2100,P,1715128376.552
das2500,P,1715128379.721998
das1900,P,1715128583.372
das1900,P,1715129158.432001
das2700,P,1715129189.722
das2300,P,1715129232.732
das2300,P,1715129308.6819992
das2100,P,1715129422.202
das1700,P,1715129609.7020001
das1300,P,1715129713.712
das2500,P,1715129897.8419998
das2900,P,1715130061.5619981
das1900,P,1715131020.872
das2100,P,1715132161.471998
das2100,P,1715132517.7020018
das2700,P,1715132821.4419992
das1900,P,1715133841.752001
das1900,P,1715134620.651998
das2100,P,1715134679.2419991
das2100,P,1715134797.151998
das2700,P,1715136061.792002
das900,P,1715136610.032
das1700,P,1715136660.892
das2100,P,1715136840.662001
das900,P,1715137452.752
das1900,P,1715137500.842001
das2100,P,1715137616.651998
das2300,P,1715137981.2419991
das1300,P,1715138278.171999
das1900,P,1715138336.9219992
das1700,P,1715138579.532
das1900,P,1715138701.191999
das1900,P,1715139418.592001
das1300,P,1715139452.7420008
das2900,P,1715139551.932
das1900,P,1715139837.721998
das1100,P,1715140014.851999
das2300,P,1715140621.452002
das900,P,1715141598.432
das2300,P,1715141640.362001
das2300,P,1715141821.851999
das1100,P,1715141958.272
das2300,P,1715142001.601999
das1700,P,1715142176.831999
das2100,P,1715142360.101999
das1900,P,1715142598.221998
das1100,P,1715142659.5619981
das1900,P,1715142721.2419991
das2700,P,1715142780.991999
das700,P,1715142972.442
das700,P,1715143080.0619981
das1300,P,1715143053.152
das2300,P,1715143080.782
das2700,P,1715143441.982
das1100,P,1715144178.632
das2100,P,1715144880.5220008
das1100,P,1715145074.442
das1500,P,1715145076.832
das500,P,1715145195.232
das1300,P,1715145375.812
das1700,P,1715145618.692
das1100,P,1715145934.252001
das2100,P,1715146200.792002
das1100,P,1715146395.572
das2100,P,1715146676.331999
das900,P,1715146697.362
das1100,P,1715146697.582
das2100,P,1715146763.082001
das2700,P,1715146801.811998
das2100,P,1715146857.511999
das1300,P,1715147006.302
das2100,P,1715147144.0220008
das1100,P,1715147295.132
das1300,P,1715147298.272
das1900,P,1715147574.721998
das900,P,1715147665.232
das1900,P,1715147664.1420002
das1700,P,1715147723.312
das900,P,1715147898.362
das1900,P,1715147938.991999
das500,P,1715148029.1420002
